n_genes	mean_norm	median_norm	q12_5	q25	q75	q87_5	k
121	-1.85885991648613	-1.06676784489544	-2.3494149781609	-1.78276490138207	-1.02406384058227	-0.901772871963807	3
121	-1.53142286936538	-1.0687638583348	-2.32571869282683	-1.73260764433867	-1.03378254824588	-0.89016346274248	4
121	-1.43314604529912	-1.00660727870012	-2.2436222361632	-1.69058967363341	-0.973809861304813	-0.946054426147434	5
121	-2.69020544242423	-1.00019208991917	-2.20590835059683	-1.65652636003292	-0.968349224209643	-0.94340383560482	6
121	-1.71475998893999	-0.984704998704392	-2.18124326500726	-1.604828408528	-0.931242772601266	-0.911965350433477	7
121	-1.3821536872031	-0.916716892769997	-2.02003986312476	-1.46699092655529	-0.871961808031064	-0.852434786947257	8
121	-1.19677846838184	-0.920905965773493	-1.71013115063297	-1.33452552628063	-0.813366819140675	-0.799053607115951	9
121	-0.90708010016552	-0.749483183463693	-1.47455566078396	-1.08024869513808	-0.669811069670207	-0.64646920770716	10
121	-0.85409342440557	-0.683786465200925	-1.28749501695505	-0.977568729315209	-0.606109290632482	-0.581529572003659	11
121	-0.657709182906983	-0.595200708446993	-1.01741668020528	-0.855783989927247	-0.437119515760777	-0.38690873729554	12
121	-0.409812071275569	-0.329340432472308	-0.66911192923962	-0.523475585491096	-0.252271095456818	-0.225051449550659	13
121	-0.355389607269258	-0.248860434498691	-0.602202657861826	-0.426020734615163	-0.197162580121208	-0.160750012083803	14
121	-0.205635149713965	-0.163149007772353	-0.353218219663998	-0.243372113249165	-0.127049523996094	-0.106255976187107	15
121	-0.048795710569088	-0.0422835889902877	-0.0796402474872205	-0.0562367073839439	-0.0344345077016311	-0.0280122541557294	16
121	0.0344347765818277	0.0408209409609334	0.0255447974373982	0.0333701599396844	0.0548649222214766	0.0742940362344712	17
121	0.112791868339398	0.117845621040864	0.0763046575277552	0.097526959031725	0.146164409025777	0.179353836714306	18
121	0.760105053032879	0.747222407431676	0.252821855880902	0.342317548176554	1.01839451597722	1.18258613781598	19
121	0.93505724884472	0.937410368786608	0.411447739992047	0.533159045493604	1.23136114817923	1.35452736979421	20
121	1.02403098450703	1.06053184318991	0.497040796267579	0.642465393358144	1.27825076992332	1.45321635525885	21
121	1.08903699465689	1.1150628833818	0.567191434087034	0.692221890395391	1.342997138341	1.48769840146827	22
121	1.18857501336934	1.18883244187074	0.679569957050423	0.818722113701477	1.45819684623393	1.65878890700086	23
121	1.31949828358841	1.26946313380978	0.876432521906973	0.931030738803383	1.51150285312822	1.72486558690934	24
121	1.40299360658982	1.30824886755502	0.983252694144673	1.028553172784	1.55452360271808	1.81123696500482	25
121	1.42157201814141	1.32945891833516	1.0001866458686	1.04240028517757	1.58232644355883	1.82863362957927	26
121	1.44556097388839	1.3493429111385	1.01859919358638	1.06075986207951	1.59718061214543	1.83682757106421	27
121	1.49601422446803	1.3900391954464	1.07199130034311	1.12403467685272	1.6436398015178	1.86173859767843	28
121	1.4971464881767	1.3882902154343	1.117791500503	1.16518401569265	1.65798472847979	1.88623812395515	29
121	1.58553421273862	1.40129254990229	1.13864317180159	1.17635508234531	1.68371871720935	1.90886002554832	30
