"asset","source_in_gflow","target_in_geosmooth","action","notes"
"ANN source tree","src/ANN/*","src/ANN/*","copy","Needed for self-contained coordinate kNN/support computation."
"ANN license","inst/licenses/ANN-Copyright-Notice.txt","inst/licenses/ANN-Copyright-Notice.txt","copy","Preserve LGPL notice."
"Eigen headers","inst/include/Eigen/*","inst/include/Eigen/*","copy","Lowest-friction first split; RcppEigen can be reconsidered later."
"Eigen config","inst/include/gflow/eigen_config.hpp","inst/include/geosmooth/eigen_config.hpp","copy+rename","Avoid permanent gflow include path in geosmooth."
"LPS R file","R/kernel_local_polynomial_cv.R","R/kernel_local_polynomial_cv.R","copy","Keep public name unchanged initially."
"LPS C++ backend","src/kernel_local_polynomial_cv_rcpp.cpp","src/kernel_local_polynomial_cv_rcpp.cpp","copy","Uses ANN and LAPACK."
"Local PCA R dimension helper","R/local_pca_chart_dim.R","R/local_pca_chart_dim.R","copy","Used by LPS/LPL/SLPL/MALPS."
"Local PCA C++ backend","src/local_pca_charts.cpp;src/local_pca_charts.hpp;src/local_pca_charts_rcpp.cpp","src/local_pca_charts.cpp;src/local_pca_charts.hpp;src/local_pca_charts_rcpp.cpp","copy","Keeps local PCA behavior identical during split."
"MALPS","R/malps.R","R/malps.R","copy","Moving with LPS avoids .malps.design.matrix friction."
"LPL-TF","R/lpl_tf.R","R/lpl_tf.R","copy","Needs local PCA wrapper and genlasso."
"SLPLiFT/S-LPL-TF","R/slpl_tf.R","R/slpl_tf.R","copy","Depends on LPL-TF helpers."
"SSRHE R file","R/ssrhe_hessian_energy.R","R/ssrhe_hessian_energy.R","copy","Move in GE4 if not in first compiled bring-up."
"SSRHE C++ backend","src/ssrhe_hessian_energy.cpp;src/ssrhe_hessian_energy_r.h","src/ssrhe_hessian_energy.cpp;src/ssrhe_hessian_energy_r.h","copy","Uses Eigen and local PCA helper."
"Rcpp exports","R/RcppExports.R;src/RcppExports.cpp","generated in geosmooth","regenerate","Do not copy unchanged."
"Native registration","src/init.c","src/init.c","regenerate/rebuild","Use geosmooth native symbol prefix."
"Qhull","src/qhull/*","none initially","defer","Not needed for initial LPS/MALPS/LPL/SLPL/SSRHE ordinary supports."
"Graph-geodesic support","multiple gflow graph files","optional gflow Suggests/import bridge","defer/bridge","Coordinate supports self-contained; graph-geodesic modes require explicit handling."
